model,training_recipe,variant,information_mode,prompt_profile,benchmark_rows,contract_ok_pct,citation_pass_rate_pct,citation_avg_sentence_coverage,doc_examples_with_any_eval,doc_pairs_evaluated,doc_micro_accuracy_pct,doc_macro_f1,conflict_evaluated_ids,conflict_support,conflict_accuracy_pct,final_answer_scored_pairs,token_f1,rouge_l_f1,final_avg_citation_count,final_avg_unique_citations,final_citation_sentence_coverage,rows_with_invalid_citations,raw_output_path
"qwen7b","Run K","sft","e2e","runtime",736,92.8,68.0,0.8245,736,3701,79.74,0.7432,736,731,60.74,529,0.3265,0.2894,2.1046,1.5802,0.6686,0,"final_model_outputs/qwen7b/e2e/runtime/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_e2e_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","e2e","strict",736,67.4,34.6,0.5541,736,3695,39.73,0.39,736,729,35.25,397,0.254,0.2162,1.2799,1.1889,0.3692,0,"final_model_outputs/qwen7b/e2e/strict/baseline/baseline_qwen25_stagewise_base_e2e_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","e2e","strict",736,93.6,68.5,0.8136,735,3696,79.46,0.7395,736,732,62.43,529,0.3411,0.3021,2.0761,1.5435,0.6566,0,"final_model_outputs/qwen7b/e2e/strict/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_e2e_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","oracle_both","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,548,0.1898,0.1555,0.0,0.0,0.0,0,"final_model_outputs/qwen7b/oracle_both/minimal/baseline/baseline_qwen25_stagewise_base_oracle_both_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","oracle_both","minimal",736,83.7,80.6,0.8876,662,3351,99.82,0.9981,736,661,76.7,545,0.3246,0.2825,2.9239,2.1101,0.7806,2,"final_model_outputs/qwen7b/oracle_both/minimal/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_oracle_both_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","oracle_both","runtime",736,67.5,4.6,0.1098,733,3670,95.75,0.9219,736,733,99.45,397,0.2967,0.2598,0.2622,0.2595,0.0746,0,"final_model_outputs/qwen7b/oracle_both/runtime/baseline/baseline_qwen25_stagewise_base_oracle_both_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","oracle_both","runtime",736,94.3,73.1,0.842,735,3696,97.54,0.9739,736,735,78.91,545,0.3259,0.281,3.0584,2.0435,0.7342,0,"final_model_outputs/qwen7b/oracle_both/runtime/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_oracle_both_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","oracle_both","strict",736,1.5,24.4,0.4948,736,3701,99.89,0.9978,736,26,100.0,385,0.2248,0.1855,1.5177,1.3967,0.2956,0,"final_model_outputs/qwen7b/oracle_both/strict/baseline/baseline_qwen25_stagewise_base_oracle_both_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","oracle_both","strict",736,94.7,72.8,0.8371,736,3701,99.73,0.9971,736,736,76.77,542,0.3259,0.2842,2.5258,1.8519,0.7154,0,"final_model_outputs/qwen7b/oracle_both/strict/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_oracle_both_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","oracle_conflict","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,546,0.2228,0.1814,0.0095,0.0095,0.0005,0,"final_model_outputs/qwen7b/oracle_conflict/minimal/baseline/baseline_qwen25_stagewise_base_oracle_conflict_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","oracle_conflict","minimal",736,91.7,76.6,0.8618,725,3643,79.63,0.7615,736,725,75.17,533,0.3221,0.2858,2.4728,1.7731,0.7197,0,"final_model_outputs/qwen7b/oracle_conflict/minimal/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_oracle_conflict_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","oracle_conflict","runtime",736,55.8,4.4,0.1966,736,3525,45.7,0.4156,736,736,99.59,380,0.2811,0.2455,0.6726,0.6685,0.1343,0,"final_model_outputs/qwen7b/oracle_conflict/runtime/baseline/baseline_qwen25_stagewise_base_oracle_conflict_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","oracle_conflict","runtime",736,93.3,68.1,0.8252,736,3701,80.49,0.7613,736,736,76.77,535,0.3201,0.281,2.163,1.6698,0.6817,0,"final_model_outputs/qwen7b/oracle_conflict/runtime/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_oracle_conflict_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","oracle_conflict","strict",736,0.0,28.6,0.3588,735,3692,43.15,0.4186,736,0,0.0,372,0.2914,0.2546,0.6562,0.6454,0.2389,0,"final_model_outputs/qwen7b/oracle_conflict/strict/baseline/baseline_qwen25_stagewise_base_oracle_conflict_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","oracle_conflict","strict",736,93.1,68.4,0.8235,735,3696,79.65,0.7447,736,735,76.6,526,0.3267,0.286,2.1821,1.6399,0.6658,0,"final_model_outputs/qwen7b/oracle_conflict/strict/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_oracle_conflict_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","oracle_notes","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,546,0.2192,0.1839,0.0,0.0,0.0,0,"final_model_outputs/qwen7b/oracle_notes/minimal/baseline/baseline_qwen25_stagewise_base_oracle_notes_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","oracle_notes","minimal",736,65.2,80.3,0.8867,521,2676,99.89,0.9985,736,520,58.46,541,0.337,0.2942,3.2323,2.0122,0.7683,5,"final_model_outputs/qwen7b/oracle_notes/minimal/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_oracle_notes_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","oracle_notes","runtime",736,79.3,5.2,0.1332,736,3674,93.03,0.8866,736,735,42.99,462,0.2862,0.2519,0.3261,0.322,0.1022,0,"final_model_outputs/qwen7b/oracle_notes/runtime/baseline/baseline_qwen25_stagewise_base_oracle_notes_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","oracle_notes","runtime",736,94.6,71.5,0.831,736,3701,97.57,0.9749,736,733,64.53,545,0.332,0.2891,2.6902,1.9389,0.7179,0,"final_model_outputs/qwen7b/oracle_notes/runtime/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_oracle_notes_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","oracle_notes","strict",736,71.3,29.1,0.5416,736,3701,99.81,0.9976,736,728,44.78,410,0.227,0.1915,1.6359,1.4973,0.3544,0,"final_model_outputs/qwen7b/oracle_notes/strict/baseline/baseline_qwen25_stagewise_base_oracle_notes_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","oracle_notes","strict",736,94.2,71.9,0.8384,735,3696,99.78,0.9971,736,735,62.99,539,0.3375,0.2949,2.5245,1.8329,0.7143,0,"final_model_outputs/qwen7b/oracle_notes/strict/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_oracle_notes_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
